Habitability_Rank,P_NAME,P_RADIUS,P_MASS,P_DENSITY,P_TEMP_SURF,P_PERIOD,P_SEMI_MAJOR_AXIS,S_TEMPERATURE,S_LUMINOSITY,S_METALLICITY,Predicted_Habitability_Probability,P_HABITABLE_BINARY
71,Kepler-1549 b,-0.6088979750301015,-0.43974636126941535,-0.3782170370646869,-1.2869371069989948,0.20933308837161319,0.18791304393180253,-0.047383383310429024,-0.5397200213249559,0.0274875818792235,0.7568908580651407,0
72,Kepler-1701 b,-0.6792877244638896,-0.44242643075633453,-0.18782767946741677,-1.2577012427247516,0.08045556813423052,0.0716558658274013,-0.28951126095010965,-0.5845400256003257,0.09380406738171267,0.6872335358575357,1
73,Ross 128 b,-0.9042112916201323,-0.4495904626540608,0.9325231786880358,-1.2516139918512585,-0.3681771456417558,-0.4791381049508183,-2.332363208361752,-0.7956503198521166,-0.2377783601307332,0.6832886231728509,1
74,Kepler-1606 b,-0.7100326724924408,-0.44350876651066723,-0.08092557459527921,-1.2323412239932865,0.15735868136082085,0.1592527942786323,0.0859229762889457,-0.4675442215121983,-0.03882890362326567,0.6831765108494239,1
75,Wolf 1061 d,-0.58462564763914,-0.43876710511073336,-0.43133020324257304,-1.5296777573189246,0.21587787056179816,-0.02617686607139044,-2.332363208361752,-0.7956503198521166,-0.7019937586481574,0.674831164706116,0
76,HD 216520 c,-0.5158540533647493,-0.43577779683686196,-0.5534355285845901,-1.277456901003864,0.03903678256773266,0.03631540760845457,-0.34800282689677403,-0.6318108702239212,-1.1662091571655817,0.6639506753430646,1
77,Kepler-1630 b,-0.6857603451014793,-0.4426669498128529,-0.16773321313778472,-1.5296777573189246,1.0406125371268453,0.6761069957307292,-0.8472215409066773,-0.6968538307142608,-2.09463995420043,0.6490630661797608,0
78,tau Cet f,-0.7626227151728572,-0.4452439397041213,0.14883664668178648,-1.4901581271736113,1.395907634538764,0.9047425211594035,-0.06642714896748256,-0.5590861140302058,-2.09463995420043,0.6462570859944823,0
79,Kepler-1690 b,-0.5601510508532539,-0.43773630915422596,-0.47889181166680356,-1.2951755537494218,0.264964089092932,0.23208861670548606,0.06143813472987687,-0.5202215163881373,-0.10514538912575484,0.5978212835604967,0
80,Kepler-1554 b,-0.5421490747049575,-0.4369632121868454,-0.5112635756653076,-1.3132168991287838,0.16201646379236898,0.14772404723769533,-0.08411064564903226,-0.605539686416656,-0.7683102441506466,0.5823082088897317,0
81,TOI-1634 c,-0.566421402095919,-0.4369632121868454,-0.25547905306290436,-1.5046481086996697,-0.10583319442390146,-0.17760003043134226,-2.332363208361752,-0.7956503198521166,1.1548678354215394,0.5202160981889747,0
82,Kepler-1840 b,-0.5668259408857683,-0.4380283680085697,-0.4668491159151842,-1.285912552364889,-0.02642653194297272,-0.03221060284047891,-0.6268579668750579,-0.6800472409371101,0.8232854079090937,0.5054862449335988,0
83,Kepler-1086 c,-0.5340582989079704,-0.43660243360206785,-0.5246863708296268,-1.404873622515437,0.058997826006486835,0.00937908274645241,-1.3722853654511533,-0.7417896183755333,0.2927535238891802,0.4730570552969654,0
84,GJ 229 A c,-0.5482171565526979,-0.4372529173904218,-0.502066893879497,-1.4479179043668038,-0.052502902454428936,-0.11883782359667774,-1.9673486314750561,-0.7816923671721042,0.0274875818792235,0.47265824378605603,1
85,Kepler-1341 b,-0.5239448291617363,-0.436155755354248,-0.5413360280740358,-1.2947561195867974,-0.021336984586803307,-0.04794141655988816,-0.9478814450939603,-0.6947065473110706,1.1548678354215394,0.47036218151252873,0
86,Kepler-351 d,-0.5785575657913996,-0.4385094061216065,-0.4432541648879784,-1.2438115666808403,0.005556550620847278,0.025217641765309717,-0.18205001188530756,-0.6021792436098203,-1.1662091571655817,0.40478990994299585,0
87,TOI-712 d,-0.6283158369428705,-0.44051945823679584,-0.3323966595309259,-1.2350697768481564,-0.1569880987629812,-0.16570702885656144,-1.0022922041141133,-0.7167263338790173,-0.2377783601307332,0.3704216936007757,0
88,TOI-2285 b,-0.7767815728175848,-0.418494784632755,2.8012371505367164,-1.2465947851256256,-0.3191536017555386,-0.38572293032939486,-2.332363208361752,-0.7956503198521166,-0.4367278166382007,0.36395777212409547,0
89,GJ 682 c,-0.5441717686542042,-0.43704911184988776,-0.5076466585834033,-1.5296777573189246,-0.2345063530662862,-0.3429480464485355,-2.332363208361752,-0.7956503198521166,0.0274875818792235,0.36203276923370403,0
